Product name,Original Price,Discount,Price After Discount,Ratings
"Redmi 9A Sport (Metallic Blue, 32 GB)  (2 GB RAM)","₹8,499",15% off,"₹7,221",4.1
"Redmi 9A Sport (Carbon Black, 32 GB)  (3 GB RAM)","₹9,499",23% off,"₹7,240",4.2
"Redmi Note 4 (Gold, 32 GB)  (3 GB RAM)","₹10,999",3% off,"₹10,649",4.4
"Redmi 6A (Rose Gold, 32 GB)  (2 GB RAM)","₹8,000",22% off,"₹6,190",4.3
"Redmi Note 5 (Gold, 32 GB)  (3 GB RAM)",N/A,62% off,"₹10,999",4.4
"Redmi 5A (Rose Gold, 16 GB)  (2 GB RAM)",N/A,64% off,"₹5,999",4.5
"Redmi 5A (Grey, 16 GB)  (2 GB RAM)","₹6,499",7% off,"₹5,999",4.5
"Redmi 5A (Rose Gold, 32 GB)  (3 GB RAM)",N/A,64% off,"₹6,999",4.4
"Redmi 5A (Grey, 32 GB)  (3 GB RAM)",N/A,64% off,"₹6,999",4.4
"Redmi 5A (Blue, 32 GB)  (3 GB RAM)",N/A,64% off,"₹6,999",4.4
"Redmi 9A (SeaBlue, 32 GB)  (2 GB RAM)","₹8,499",23% off,"₹6,499",4.3
"Redmi Go (Blue, 8 GB)  (1 GB RAM)",N/A,64% off,"₹5,999",4.3
"Xiaomi 11Lite NE (Tuscany Coral, 128 GB)  (8 GB RAM)","₹26,500",13% off,"₹22,800",4.3
"Xiaomi 11Lite NE (Tuscany Coral, 128 GB)  (6 GB RAM)","₹31,999",31% off,"₹21,980",4.2
"Redmi 9 (Sporty Orange, 64 GB)  (4 GB RAM)","₹10,999",22% off,"₹8,499",4.3
"REDMI 10A (CHARCOAL BLACK, 128 GB)  (6 GB RAM)","₹14,999",41% off,"₹8,808",4.2
"Xiaomi 11Lite NE (Vinyl Black, 128 GB)  (6 GB RAM)","₹31,999",34% off,"₹20,999",4.2
"Redmi 9A (Sea Blue, 32 GB)  (3 GB RAM)","₹9,499",23% off,"₹7,290",4.3
"Redmi 9A (Midnight Black, 32 GB)  (3 GB RAM)","₹9,499",25% off,"₹7,079",4.3
"Redmi K20 (Flame Red, 128 GB)  (6 GB RAM)",N/A,23% off,"₹24,999",4.5
"Mi 11x Pro 5G (Lunar White, 256 GB)  (8 GB RAM)","₹43,000",2% off,"₹41,999",4
"Xiaomi 11i 5G (Camo Green, 128 GB)  (6 GB RAM)","₹29,999",16% off,"₹24,999",4.2
"Redmi 9A (Nature Green, 32 GB)  (2 GB RAM)","₹8,499",14% off,"₹7,280",4.3
"Redmi 9A (Midnight Black, 32 GB)  (2 GB RAM)","₹8,499",23% off,"₹6,499",4.3
"Xiaomi 11Lite NE (Vinyl Black, 128 GB)  (8 GB RAM)","₹33,999",44% off,"₹18,999",4.3
"Redmi Go (Blue, 16 GB)  (1 GB RAM)",N/A,64% off,"₹5,999",4.3
"Redmi 4A (Dark Grey, 32 GB)  (3 GB RAM)",N/A,64% off,"₹6,999",4.4
"Redmi Note 5 (Black, 64 GB)  (4 GB RAM)","₹11,999",22% off,"₹9,309",4.4
"Mi 11X Pro 5G (Cosmic Black, 256 GB)  (8 GB RAM)","₹39,999",22% off,"₹30,980",4
"Mi 11X Pro 5G (Lunar White, 128 GB)  (8 GB RAM)","₹47,999",46% off,"₹25,499",4
"Redmi 4A (Dark Grey, 32 GB)  (3 GB RAM)",N/A,64% off,"₹6,999",4.4
